title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Kale and Banana Smoothie,"This kale smoothie with banana is perfect for those of us who have a hard time getting our daily dose of veggies! Nutrient-rich kale is hidden in this delicious, easy smoothie.",5 mins,,5 mins,1,"['2 cups chopped kale', '1  banana', '½ cup light unsweetened soy milk', '1 tablespoon flax seeds', '1 teaspoon maple syrup']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Place kale, banana, soy milk, flax seeds, and maple syrup into a blender.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Cover and purée until smooth.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve over ice.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '311', 'Fat': '7g', 'Carbs': '57g', 'Protein': '12g'}",https://www.allrecipes.com/recipe/173730/kale-and-banana-smoothie/
20 Breakfast Smoothie Recipes to Start Your Day the Healthy Way,,,,,,[],[],,https://www.allrecipes.com/gallery/breakfast-smoothie-recipes/
"Banana, Avocado, and Spinach Smoothie","A quick and delicious banana, avocado, and spinach smoothie that can be used as a breakfast or snack!",10 mins,,10 mins,2,"['1  banana, sliced', '½  avocado, peeled and sliced', '½ cup fresh spinach', '½ cup 1% milk', '6  ice cubes', '2 teaspoons honey', '1 teaspoon vanilla extract']","['Blend banana, avocado, spinach, milk, ice cubes, honey, and vanilla together in a blender until smooth.']","{'Calories': '190', 'Fat': '8g', 'Carbs': '28g', 'Protein': '4g'}",https://www.allrecipes.com/recipe/241365/banana-avocado-and-spinach-smoothie/
The Best Post-Workout Shake,"This is the best post-workout shake. It's delicious, nutritious, and filling — a perfect drink after a hard workout at the gym. I've been drinking it every morning for years after I finish my workout around 8 am, and I stay full until 11:30 am!",5 mins,,5 mins,1,"['1 scoop whey protein powder', '1 tablespoon flax seed meal', '1 tablespoon unsweetened cocoa powder', '1 teaspoon brown sugar (Optional)', '1 cup unsweetened almond milk', '½ cup frozen mixed berries', '1 medium banana', '1 tablespoon smooth peanut butter']","['Layer protein powder, flax meal, cocoa powder, and brown sugar in a blender. Add almond milk, frozen berries, banana, and peanut butter. Blend until smooth, about 1 minute.']","{'Calories': '493', 'Fat': '17g', 'Carbs': '67g', 'Protein': '29g'}",https://www.allrecipes.com/recipe/245163/the-best-post-workout-shake/
Kiwi Strawberry Smoothie,"This kiwi strawberry smoothie is full of tropical, fruity goodness!",5 mins,,5 mins,2,"['¾ cup pineapple and orange juice blend', '½ cup vanilla frozen yogurt', '1  banana', '6  strawberries', '1  kiwi']","['Place juice blend, frozen yogurt, banana, strawberries, and kiwi into a blender. Blend until smooth and pour into 2 glasses.']","{'Calories': '204', 'Fat': '1g', 'Carbs': '48g', 'Protein': '4g'}",https://www.allrecipes.com/recipe/77035/kiwi-strawberry-smoothie/
20 Easy Smoothie Recipes With 3 Ingredients or Less,Spend less time prepping ingredients and more time sipping on your favorite treat.,,,,,[],[],,https://www.allrecipes.com/gallery/easy-smoothie-recipes/
Orange Banana Smoothie,I recommend this orange and banana smoothie — it's filling enough to have for breakfast!,10 mins,,10 mins,2,"['1 cup cold milk', '½ cup vanilla fat-free yogurt', '¼ cup sugar', '1 pinch salt', '2 medium oranges, peeled and segmented', '1 medium banana', '4 cubes  ice']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Combine milk, yogurt, sugar, and salt in a blender. Add oranges and banana and blend for about 1 minute. Add ice and blend until smooth.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve and enjoy!\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '340', 'Fat': '3g', 'Carbs': '74g', 'Protein': '9g'}",https://www.allrecipes.com/recipe/32448/orange-banana-smoothie/
Simple Cantaloupe Smoothie,"This cantaloupe smoothie recipe is very simple. It is a sweet, healthy way to start your day with a delicious, unique flavor.",5 mins,,5 mins,1,"['1 cup vanilla yogurt (such as Dannon® Light and Fit®)', '½ cup orange juice', '½ cup sliced cantaloupe', '4  ice cubes, crushed, or as needed']","['Process yogurt, orange juice, cantaloupe, and ice cubes in a blender until smooth, about 30 seconds.']","{'Calories': '291', 'Fat': '4g', 'Carbs': '53g', 'Protein': '14g'}",https://www.allrecipes.com/recipe/238339/simple-cantaloupe-smoothie/
"Delicious, Healthy Strawberry Shake","My mom made this strawberry shake for me when I was a kid. I loved it then, and I still love it, especially on hot days!",10 mins,,10 mins,2,"['2 cups milk', '1 cup frozen strawberries', '1 tablespoon honey', '1 teaspoon vanilla extract']","['Combine milk, strawberries, honey, and vanilla in a blender. Blend until smooth.', 'Pour into glasses and serve.']","{'Calories': '186', 'Fat': '5g', 'Carbs': '27g', 'Protein': '8g'}",https://www.allrecipes.com/recipe/20816/delicious-healthy-strawberry-shake/
Strawberry Banana Protein Shake,"This strawberry banana protein shake is a healthy, versatile drink, perfect for a post-workout meal. It also makes a healthy alternative to an ice cream shake for the kids. The banana and strawberries can be substituted with kiwi, pineapple, pears, mango, blueberries, etc. Get creative and enjoy!",5 mins,,5 mins,2,"['1 cup skim milk', '1 scoop vanilla-flavored whey protein powder', '2 cups ice', '1 cup strawberries', '1 large banana', '1 tablespoon natural peanut butter']","['Layer milk, protein powder, ice, strawberries, banana, and peanut butter in a blender in this order; blend until creamy and smooth.']","{'Calories': '261', 'Fat': '5g', 'Carbs': '31g', 'Protein': '26g'}",https://www.allrecipes.com/recipe/244960/strawberry-banana-protein-shake/
"Blueberry, Banana, and Peanut Butter Smoothie","This is the perfect peanut butter and berry smoothie to get your day moving, give you a boost, or serve as a kid-friendly snack!",10 mins,,10 mins,2,"['1 tablespoon flaxseed meal', '1  banana', '1 cup milk', '½ cup frozen blueberries', '½ cup plain yogurt', '1 tablespoon peanut butter', '1 teaspoon honey']","['Put flaxseed meal into a blender to grind and further break down.', 'Place banana, milk, blueberries, yogurt, peanut butter, and honey into the blender. Cover and purée until smooth.', 'Pour into glasses to serve.']","{'Calories': '251', 'Fat': '9g', 'Carbs': '34g', 'Protein': '11g'}",https://www.allrecipes.com/recipe/186813/blueberry-banana-and-peanut-butter-smoothie/
Strawberry Banana Peanut Butter Smoothie,"This smoothie with strawberry, banana, and peanut butter is a creamy treat with protein and no added sugar. It's a yummy breakfast or dessert!",10 mins,,10 mins,1,"['½ cup nonfat plain yogurt', '1  banana', '4  fresh strawberries, hulled', '2 tablespoons peanut butter', '10  ice cubes']","['Place yogurt, banana, strawberries, and peanut butter into a blender. Add ice cubes and purée until smooth.']","{'Calories': '389', 'Fat': '19g', 'Carbs': '46g', 'Protein': '16g'}",https://www.allrecipes.com/recipe/150121/strawberry-banana-peanut-butter-smoothie/
Strawberry Raspberry Smoothie,"A basic strawberry and raspberry smoothie made with healthy ingredients. Choose organic, pesticide-free berries, probiotic yogurt, and local honey if possible!",10 mins,,10 mins,1,"['1 cup hulled fresh strawberries', '½ cup frozen raspberries', '½ cup lowfat milk', '½ cup vanilla yogurt', '1 tablespoon honey', '1 teaspoon vanilla extract']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Rachel Marek / Food Stylist: Addelyn Evans / Prop Stylist: Gabriel Greco', 'Blend strawberries, raspberries, milk, yogurt, honey, and vanilla together in a blender until smooth.\n\n \n\n\n\n\n\n \n Rachel Marek / Food Stylist: Addelyn Evans / Prop Stylist: Gabriel Greco']","{'Calories': '318', 'Fat': '5g', 'Carbs': '59g', 'Protein': '12g'}",https://www.allrecipes.com/recipe/231749/strawberry-raspberry-smoothie/
"Cocoa, Banana, and Peanut Butter Smoothie",This healthy banana-chocolate smoothie recipe is ideal for a post-workout protein drink or afternoon pick-me-up. No supplemental protein mix needed!,5 mins,,5 mins,1,"['1 cup milk', '½  chopped frozen banana, or more to taste', '2 tablespoons peanut butter', '2 teaspoons unsweetened cocoa powder', '1 teaspoon honey']","['Blend together milk, frozen banana, peanut butter, cocoa powder, and honey in a blender until smooth.']","{'Calories': '397', 'Fat': '22g', 'Carbs': '40g', 'Protein': '18g'}",https://www.allrecipes.com/recipe/244224/healthy-cocoa-banana-pb-smoothie/
Simple Summer Smoothie,"I just gathered together my favorite fruits and added what else was needed. If you like, use a multigrain bar (I use Entenmann's strawberry flavored), crumble it, and sprinkle some on top of each smoothie.",10 mins,,10 mins,4,"['1  banana', '1 cup frozen strawberries', '1 cup frozen blueberries', '1 cup frozen cherries', '4  ice cubes', '½ cup orange juice', '¾ cup vanilla yogurt', '½ teaspoon honey (Optional)']","['Place the banana, strawberries, blueberries, cherries, and ice cubes into a blender. Pour in the orange juice, vanilla yogurt, and honey. Puree until smooth.']","{'Calories': '139', 'Fat': '1g', 'Carbs': '31g', 'Protein': '4g'}",https://www.allrecipes.com/recipe/172463/simple-summer-smoothie/
Melon Smoothie,This one is great when melons are in season.,5 mins,,5 mins,4,"['¼  cantaloupe - peeled, seeded and cubed', '¼  honeydew melon - peeled, seeded and cubed', '1  lime, juiced', '2 tablespoons sugar']","['In a blender, combine cantaloupe, honeydew, lime juice and sugar. Blend until smooth. Pour into glasses and serve.']","{'Calories': '70', 'Fat': '0g', 'Carbs': '18g', 'Protein': '1g'}",https://www.allrecipes.com/recipe/32450/melon-smoothie/
Apple Banana Smoothie,"This apple and banana smoothie is a thick, healthy fruit drink with apple, banana, and orange juice. The frozen banana takes the place of shaved ice and results in a smooth, creamy texture. Serve with a dollop of whipped cream for added effect.",5 mins,,5 mins,2,"['1 medium Gala apple, peeled, cored and chopped', '1 frozen banana, peeled and chopped', '½ cup orange juice', '¼ cup milk']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Combine apple, frozen banana, orange juice, and milk in a blender; blend until smooth.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Pour into glasses to serve. Enjoy!\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '145', 'Fat': '1g', 'Carbs': '33g', 'Protein': '2g'}",https://www.allrecipes.com/recipe/20610/apple-banana-smoothie/
Peanut Butter Strawberry Smoothie,"I made this peanut butter strawberry smoothie recipe out of my own mind. It's simple, healthy, and delicious! Serve it chilled.",10 mins,,10 mins,1,"['8  strawberries, sliced', '½ cup plain yogurt', '¼ cup milk', '2 tablespoons creamy peanut butter', '1 teaspoon brown sugar']","['Place strawberries, yogurt, milk, peanut butter, and brown sugar together in a blender; blend for 2 minutes then rest for 10 seconds. Blend until smooth, 2 minutes more.']","{'Calories': '363', 'Fat': '20g', 'Carbs': '33g', 'Protein': '18g'}",https://www.allrecipes.com/recipe/236205/peanut-butter-strawberry-smoothie/
Flax Seed Smoothie,This flaxseed smoothie with banana and strawberries is a good source of fiber and a quick and low-calorie grab in the morning.,5 mins,,5 mins,1,"['1 cup low-fat vanilla soy milk', '1 cup frozen strawberries', '½  frozen banana, peeled and cut into chunks', '2 tablespoons flaxseed meal']","['Place soy milk, strawberries, banana, and flaxseed meal into a blender; blend until smooth.']","{'Calories': '273', 'Fat': '8g', 'Carbs': '47g', 'Protein': '8g'}",https://www.allrecipes.com/recipe/161325/flax-seed-smoothie/
Peach Banana Smoothie,This is a delicious smoothie recipe that I stumbled upon while in the kitchen. It is a great treat on a warm summer day. Try vanilla yogurt for even more flavor.,5 mins,,5 mins,4,"['1 cup plain yogurt', '1 (15.25 ounce) can peaches', '2  bananas, sliced', '¼ cup orange juice', '¼ cup white sugar, or to taste', '2 cubes  ice']","['Blend yogurt, peaches, bananas, orange juice, sugar, and ice in a blender on high until the ice is crushed and the smoothie is to your desired consistency.']","{'Calories': '194', 'Fat': '1g', 'Carbs': '44g', 'Protein': '5g'}",https://www.allrecipes.com/recipe/232903/peach-banana-smoothie/
Banana Peanut Butter Smoothie,I love this smoothie with peanut butter powder. Powdered peanut butter has fewer calories than regular peanut butter.,5 mins,,5 mins,1,"['1 cup unsweetened almond milk', '1  frozen banana, sliced', '½ cup ice, or as needed', '2 tablespoons powdered peanut butter', '1 tablespoon cocoa powder', '1 teaspoon cinnamon']","['Blend almond milk, banana, ice, powdered peanut butter, cocoa powder, and cinnamon together in a blender until smooth.']","{'Calories': '232', 'Fat': '5g', 'Carbs': '46g', 'Protein': '8g'}",https://www.allrecipes.com/recipe/237693/banana-peanut-butter-smoothie/
Watermelon Milkshake,A cold refreshing drink on a hot summer day.,10 mins,,10 mins,4,"['1 ½ cups diced watermelon', '2 ¼ cups milk', '2 teaspoons white sugar']",['Process the watermelon and milk together in a blender until smooth. Add the sugar and blend another 10 seconds to incorporate. Serve immediately.'],"{'Calories': '94', 'Fat': '3g', 'Carbs': '13g', 'Protein': '5g'}",https://www.allrecipes.com/recipe/215579/watermelon-milkshake/
Green Monster Smoothie,Great post-workout snack that will keep you filled for hours! The taste of the banana and the peanut butter cover the taste of the spinach completely. I freeze my bananas and spinach then prepackage everything for the week! Substitutions include rice or nut milks or vanilla yogurt.,5 mins,,5 mins,1,"['1 cup fat-free milk', '½ cup fat-free plain yogurt', '1  banana, frozen and chunked', '1 tablespoon natural peanut butter', '2 cups fresh spinach', '1 cup ice cubes (Optional)']","['Blend milk, yogurt, banana, peanut butter, spinach, and ice cubes until smooth.']","{'Calories': '382', 'Fat': '9g', 'Carbs': '56g', 'Protein': '24g'}",https://www.allrecipes.com/recipe/222708/green-monster-smoothie/
Lela's Protein Mango Smoothie,Whip up a refreshing protein vanilla mango shake.,10 mins,,10 mins,1,"['½  mango, chopped, or more to taste', '½ cup low-fat vanilla yogurt', '½ cup almond milk', '½ cup ice', '1 scoop vanilla whey protein powder', '1 teaspoon honey, or to taste (Optional)']","['Blend mango, yogurt, almond milk, ice, protein powder, and honey together in a blender until smooth.']","{'Calories': '401', 'Fat': '4g', 'Carbs': '49g', 'Protein': '45g'}",https://www.allrecipes.com/recipe/238647/lelas-protein-mango-smoothie/
Healthy Blueberry Breakfast Smoothie,"A quick recipe I thought up while trying to decide what to eat for breakfast. Great if you are trying to figure out what to do with those blueberries in the fridge or freezer! Also great on-the-go!
Delicious and includes many foods that are a great way to start your day! Many of the ingredients, except for the blueberries and yogurt, are optional and vary depending on your own taste. I love cinnamon and a thick, super-cold smoothie. This recipe is super versatile, and you can change it depending on dietary needs or personal preference. Have fun with it!",15 mins,,15 mins,1,"['1 cup fresh blueberries', '½ cup Greek yogurt', '¼ cup orange juice', '1 tablespoon white sugar, or to taste', '¼ teaspoon vanilla extract', '1 pinch ground cinnamon, or to taste', '3  ice cubes']","['Blend blueberries, yogurt, orange juice, sugar, vanilla extract, and cinnamon together in a blender on low speed for 30 seconds; increase speed to high and blend until smooth, about 2 minutes. Add ice and blend on high until smooth, about 1 minute more.']","{'Calories': '295', 'Fat': '11g', 'Carbs': '45g', 'Protein': '8g'}",https://www.allrecipes.com/recipe/242198/healthy-blueberry-breakfast-smoothie/
All-Fruit Smoothies,"Quick, easy smoothies made entirely with fruit!",10 mins,,10 mins,2,"['1 cup pineapple juice', '1 large banana, cut into chunks', '1 cup frozen strawberries', '1 cup frozen blueberries']","['Pour pineapple juice into a blender and add banana, strawberries, and blueberries. Cover and blend until smooth, about 1 minute. Pour into 2 glasses.']","{'Calories': '205', 'Fat': '1g', 'Carbs': '51g', 'Protein': '2g'}",https://www.allrecipes.com/recipe/228854/all-fruit-smoothies/
Mangonada,"A mangonada is a layered Mexican drink similar to a smoothie and a great way to use up fresh ripe mangos. It's sweet, salty, tart, and fruity — a definite cool-down drink for those hot summer days!",15 mins,,15 mins,1,"['1 teaspoon chamoy (Mexican chili fruit condiment)', '1 teaspoon chili-lime seasoning (such as Tajin)', '1 cup mango chunks, frozen', '¾ cup water', '½ medium lime, juiced', '1 tablespoon chamoy (Mexican chili fruit condiment)', '1 teaspoon chili-lime seasoning (such as Tajin)', '2 tablespoons diced fresh mango']","['Place 1 teaspoon chamoy on a plate. Place 1 teaspoon chili-lime seasoning on another plate. Dip rim of glass first in chamoy, then in chili-lime seasoning. Set aside.', 'Combine frozen mango, water, and lime juice in a blender; blend until smooth.', 'Place 1/2 tablespoon chamoy in the bottom of the glass. Add 1/2 teaspoon chili-lime seasoning and 1/2 of the blended mangoes. Repeat layers and top with diced fresh mango.']","{'Calories': '147', 'Fat': '1g', 'Carbs': '38g', 'Protein': '1g'}",https://www.allrecipes.com/recipe/285857/mangonada/
Creamy Mango Smoothie,"If you like mangos, you must try this luscious and creamy smoothie. It is both light and filling. You can use fresh or frozen mango chunks. There's no better way to get some calcium and fruit in for the day! Enjoy!!! If you love other fruit, add bananas, raspberries, or strawberries, if you wish.",5 mins,,5 mins,2,"['¾ cup cold milk', '¼ cup vanilla yogurt', '¾ teaspoon vanilla extract', '1 ½ cups chopped fresh mango', '3  ice cubes']","['Blend the milk, yogurt, vanilla extract, mango, and ice cubes in a blender until smooth and creamy.']","{'Calories': '157', 'Fat': '3g', 'Carbs': '30g', 'Protein': '5g'}",https://www.allrecipes.com/recipe/215171/creamy-mango-smoothie/
Nectarine Sunshine Smoothie,A tart sweet blend of fruit that's a perfect way to greet the day.,10 mins,,30 mins,4,"['2 large  nectarines, pitted and quartered', '1  banana, cut into pieces and frozen', '1 large orange, peeled and quartered', '1 cup vanilla yogurt', '1 cup orange juice', '1 tablespoon honey']","['Place the nectarines, frozen banana chunks, orange, vanilla yogurt, orange juice, and honey into a blender, and blend until smooth.']","{'Calories': '184', 'Fat': '1g', 'Carbs': '41g', 'Protein': '5g'}",https://www.allrecipes.com/recipe/214990/nectarine-sunshine-smoothie/
Berries and Cream Smoothie,"If you have ever had a bowl of berries mixed with a little sugar and then topped with some whipping cream, you know that it is heavenly. If you haven't tried it before, maybe you shouldn't so that you can avoid forming an addiction. Whether you've had it or not, here is a great recipe that tastes just like it. It is simply in the on-the-go, drinkable form. Garnish with whipped cream and/or berries.",5 mins,,5 mins,3,"['1 cup heavy cream', '¾ cup half-and-half', '¼ cup white sugar', '½ teaspoon vanilla extract', '1 cup frozen blueberries', '1 cup frozen strawberries', '½ cup frozen raspberries', '½ cup frozen blackberries', '½ cup milk']","['Pour cream and half-and-half into an electric blender and blend on low speed until it begins to thicken. Add sugar and vanilla extract and mix for about 30 seconds. Add blueberries, strawberries, raspberries, and blackberries. Blend until smooth, adding milk if necessary to make blending easier.']","{'Calories': '517', 'Fat': '38g', 'Carbs': '42g', 'Protein': '6g'}",https://www.allrecipes.com/recipe/277994/berries-and-cream-smoothie/
Banana Smoothie I,"My father taught me how to make this recipe when I was a little girl. It is very easy to make. This recipe contains raw eggs. We recommend that pregnant women, young children, the elderly and the infirm do not consume raw eggs.",5 mins,,5 mins,1,"['1  banana', '1 cup milk', '1 teaspoon vanilla extract', '1  egg', '2 tablespoons white sugar', '1 pinch ground cinnamon']","['In a blender, combine banana, milk, vanilla, egg and sugar. Blend until smooth. Pour into a tall glass and top with a pinch of cinnamon.']","{'Calories': '410', 'Fat': '10g', 'Carbs': '65g', 'Protein': '16g'}",https://www.allrecipes.com/recipe/22929/banana-smoothie-i/
My Mango Lassi,Mango lassi is very rich and luxurious drink with yogurt and mangoes. It is the perfect summer drink when served chilled.,10 mins,,10 mins,2,"['1 ½ cups mangos - peeled, seeded, chopped, and chilled', '1 ½ cups plain yogurt', '½ cup cold milk', '2 tablespoons heavy cream', ""2 tablespoons confectioners' sugar"", '½ teaspoon ground cardamom']","[""Combine mangos, yogurt, milk, cream, confectioners' sugar, and cardamom in a blender; blend until smooth and frothy. Pour into glasses and serve immediately.""]","{'Calories': '228', 'Fat': '10g', 'Carbs': '24g', 'Protein': '12g'}",https://www.allrecipes.com/recipe/264349/my-mango-lassi/
Banana Lassi,"Who doesn't like a mango lassi, right? But when you don't have good fresh mangos or can't find mango puree, why not try a banana lassi? I ordered 2 in a restaurant in Udaipur because they were so good and it was because they had no mangos at the time -- what a find!",10 mins,,10 mins,2,"['2  over-ripe bananas, broken into chunks', '1 ¼ cups thick plain yogurt', '⅓ cup milk, or more to taste', '2  ice cubes', '2 tablespoons white sugar']","['Blend bananas, yogurt, milk, ice cubes, and sugar together in a blender until smooth.']","{'Calories': '270', 'Fat': '4g', 'Carbs': '52g', 'Protein': '11g'}",https://www.allrecipes.com/recipe/238362/banana-lassi/
Raspberry Blackberry Smoothie,A delicious smoothie!,10 mins,,10 mins,2,"['1 small banana', '½ cup blackberries', '1 cup fresh raspberries', '1 (6 ounce) container vanilla yogurt', '1 tablespoon honey', '4  ice cubes']","['Place banana, blackberries, raspberries, yogurt, honey, and ice cubes into a blender. Blend until smooth.']","{'Calories': '195', 'Fat': '2g', 'Carbs': '43g', 'Protein': '6g'}",https://www.allrecipes.com/recipe/203239/raspberry-blackberry-smoothie/
